"","X","name","key","decimalLatitude","decimalLongitude","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"60",78,"Siphoneugena densiflora",1090572126,-18.9439,-46.9925,"gass84,iddatunl",22588153,214,112,68,1512,287,124,163,224,194,229,191,1506,298,7,81,783,32,651,49
"61",79,"Siphoneugena densiflora",1424077548,-15.55,-48.133333,"cdround,gass84",21888285,220,104,70,905,287,140,147,223,212,227,205,1427,267,6,77,685,25,199,42
"62",81,"Siphoneugena densiflora",1090859165,-20.658056,-40.510833,"gass84,iddatunl",22942548,244,82,59,1703,315,178,137,259,223,267,223,1091,171,45,44,453,147,289,147
"63",82,"Siphoneugena densiflora",1097764751,18.1417,-66.55,"gass84",14898083,201,99,73,1281,266,131,135,213,183,215,183,2487,352,90,45,982,286,670,286
"64",83,"Siphoneugena densiflora",1213569390,-15.981667,-47.903056,"gass84,iddatunl",21974691,205,116,72,1092,276,115,161,210,191,214,187,1573,273,8,76,766,34,442,51
"65",85,"Siphoneugena densiflora",1424077629,-22,-42.05,"gass84,iddatunl",23227631,192,103,60,2089,272,102,170,209,165,220,165,1439,242,29,60,654,109,555,109
"66",86,"Siphoneugena densiflora",1143434685,-22,-42.03,"gass84",23227632,193,101,59,2113,272,103,169,210,165,221,165,1440,239,30,58,648,114,548,114
"67",87,"Siphoneugena densiflora",1260458349,-22.866667,-46.083333,"cdround,gass84,iddatunl",23400335,146,110,62,2310,220,43,177,170,113,171,113,1812,309,36,63,863,141,796,162
"68",88,"Siphoneugena densiflora",1213624534,-20.29,-43.51,"gass84",22864716,181,113,63,1927,259,82,177,198,154,202,154,1540,324,14,82,829,52,658,61
"69",89,"Siphoneugena densiflora",1087568670,-19.816667,-43.666667,"gass84",22769672,184,116,66,1785,263,88,175,199,161,203,157,1542,327,11,84,843,40,652,54
"70",90,"Siphoneugena densiflora",1097998921,-18.2531772779915,-43.6004898201051,"cdrep,iddatunl",22449994,194,107,61,1729,281,108,173,209,174,213,169,1436,333,8,87,812,28,560,48
"71",91,"Siphoneugena densiflora",1456357819,-10.67,-53.92,"gass84",20877266,250,146,69,645,356,145,211,247,242,256,241,2351,398,3,75,1129,25,632,54
"72",93,"Siphoneugena densiflora",1213608876,-16.366667,-47.883333,"gass84",22052451,214,131,70,1320,294,109,185,221,195,224,193,1435,261,7,79,709,29,378,40
"73",94,"Siphoneugena densiflora",1096808128,-21.84,-46.56,"gass84",23192963,178,119,64,2266,255,70,185,202,147,202,145,1706,315,26,72,849,84,781,113
"74",95,"Siphoneugena densiflora",1096808188,-21.35,-46.56,"gass84",23089283,189,120,66,2077,262,82,180,210,160,210,159,1513,262,17,72,744,64,668,91
"75",96,"Siphoneugena densiflora",1097663503,-16.2565304858771,-47.9507751562949,"cdrep,iddatunl",22035170,209,130,70,1324,289,104,185,217,190,220,188,1502,289,7,81,750,26,395,38
"76",97,"Siphoneugena densiflora",1143434149,-21.502,-46.3353,"gass84,iddatunl",23123848,201,124,66,2137,278,92,186,222,172,222,169,1495,271,19,72,741,69,645,94
