"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"12",13,"Maytenus obtusifolia",1316168533,-9.40512,-36.71851,"gass84",20609839,244,98,68,1666,322,179,143,224,257,261,220,852,141,14,64,415,62,71,344
"13",14,"Maytenus obtusifolia",1226938916,-9.23785,-36.43066,"gass84",20575286,206,87,69,1435,273,147,126,188,216,219,184,1263,221,24,63,609,99,143,543
"14",15,"Maytenus obtusifolia",1316168681,-9.54139,-36.78639,"gass84",20635758,246,95,67,1669,321,180,141,227,257,263,222,710,125,14,67,356,52,82,293
"15",17,"Maytenus obtusifolia",1096934224,-19.13544,-40.05914,"gass84",22631519,240,94,64,1589,313,168,145,254,221,261,219,1207,183,39,49,523,145,364,146
"16",18,"Maytenus obtusifolia",1143413994,-10.73778,-36.85583,"gass84",20886316,255,69,66,1209,307,204,103,252,264,268,238,1452,280,37,64,694,117,227,507
"17",19,"Maytenus obtusifolia",1264695709,-11.2224,-37.5026,"gass84",20989980,249,87,67,1457,316,188,128,235,261,265,229,1349,228,46,53,584,156,228,478
"18",21,"Maytenus obtusifolia",1423893209,-9,-36,"gass84",20532097,225,81,69,1323,287,170,117,210,232,237,205,1699,285,42,57,769,161,282,727
"19",23,"Maytenus obtusifolia",1143414011,-11.01472,-37.20639,"gass84",20946788,253,63,67,1065,300,206,94,250,261,266,238,1371,250,45,61,645,141,235,472
"20",24,"Maytenus obtusifolia",1087710273,-11.55,-37.78333,"gass84",21059094,243,93,68,1525,314,178,136,240,256,260,222,1255,200,49,46,519,167,237,418
"21",25,"Maytenus obtusifolia",1143418745,-1.66294,-44.85228,"gass84",19002604,270,74,77,513,319,224,95,265,277,277,264,1608,335,3,91,939,21,21,874
"22",26,"Maytenus obtusifolia",1213529913,-0.7898,-48.52051,"gass84",18821076,274,74,82,550,321,231,90,268,280,280,266,2735,518,20,79,1468,88,153,1326
"23",27,"Maytenus obtusifolia",1087695290,-11.30437,-37.34471,"gass84",21007264,254,80,68,1309,314,197,117,250,263,268,235,1585,273,56,55,701,175,274,555
"24",28,"Maytenus obtusifolia",1264695774,-10.5502,-37.39,"gass84,iddatunl",20851743,237,77,65,1469,296,178,118,222,248,252,215,939,153,32,56,429,101,144,372
"25",30,"Maytenus obtusifolia",1135945989,-24.024,-47.315,"gass84,iddatunl",23642225,186,95,56,2460,265,96,169,215,154,217,154,1822,277,66,47,746,205,728,205
