"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"137",156,"Mabea fistulifera",1090749529,-8.62222,-46.73917,"gass84",20445439,250,121,73,526,333,168,165,246,251,258,246,1338,227,4,76,623,20,173,173
"138",157,"Mabea fistulifera",1094753499,-20.93111,-51.30722,"gass84,iddatunl",23002769,225,123,65,2328,303,114,189,248,192,248,191,1171,203,21,60,542,84,542,127
"139",158,"Mabea fistulifera",1213607461,-9.99306,-48.41667,"gass84",20730518,264,121,73,476,345,180,165,263,261,270,258,1811,298,2,78,870,16,226,50
"140",159,"Mabea fistulifera",1087504136,-21.07486,-51.58772,"gass84",23028682,234,122,65,2290,311,126,185,257,202,257,200,1132,190,23,59,508,81,508,120
"141",160,"Mabea fistulifera",1087503978,-20.81583,-51.72389,"gass84",22976839,241,120,66,2186,318,138,180,263,213,263,209,1237,208,24,58,543,82,510,118
"142",161,"Mabea fistulifera",1089269228,-26.23333,-52.68333,"gass84",24100016,170,139,60,3194,282,52,230,209,145,209,129,1958,195,119,15,557,432,557,466
"143",162,"Mabea fistulifera",1223127518,-15.98333,-51.98333,"gass84,iddatunl",21974593,256,122,67,1178,334,154,180,260,239,267,237,1491,289,5,82,772,26,370,42
"144",163,"Mabea fistulifera",1135864950,-13.3706,-53.173,"gass84",21430244,243,143,70,1123,334,132,202,249,227,252,226,1703,286,3,77,847,23,421,44
"145",164,"Mabea fistulifera",1135864988,-15.59,-51.59,"gass84",21896842,259,120,69,1061,336,164,172,263,245,269,242,1522,290,5,83,794,18,380,40
"146",165,"Mabea fistulifera",1135864971,-12.5881,-55.1454,"gass84",21274677,248,143,70,867,344,141,203,250,238,256,235,1887,335,3,80,958,14,472,52
"147",166,"Mabea fistulifera",1135864980,-10.05,-54.44,"gass84",20747654,249,145,69,603,357,148,209,245,244,256,243,2351,372,7,71,1086,39,630,75
"148",167,"Mabea fistulifera",1135864959,-13.1843,-56.434,"gass84",21395606,252,137,74,912,335,150,185,253,243,261,238,1946,345,4,79,993,36,445,60
"149",168,"Mabea fistulifera",1223127641,-12.98917,-55.24833,"gass84,iddatunl",21352435,245,141,71,919,337,139,198,248,235,254,231,1844,332,3,80,955,20,445,51
"150",169,"Mabea fistulifera",1223127646,-13.31194,-56.72778,"gass84,iddatunl",21421519,255,136,74,910,336,153,183,257,246,264,241,1921,355,4,80,991,35,432,52
"151",170,"Mabea fistulifera",1223127522,-10.08333,-54.73333,"gass84,iddatunl",20747647,254,145,69,618,362,153,209,249,249,260,248,2312,379,8,71,1063,44,360,82
"152",171,"Mabea fistulifera",1223127619,-14.16667,-56.63333,"gass84,iddatunl",21602961,250,134,73,842,331,149,182,252,244,258,238,1872,310,6,73,895,40,474,222
"153",172,"Mabea fistulifera",1135864967,-14.1,-56.38,"gass84",21585687,252,133,73,873,333,153,180,254,247,259,239,1847,298,6,72,871,44,477,227
"154",173,"Mabea fistulifera",1223127634,-13.57278,-55.33917,"gass84,iddatunl",21473392,247,137,73,946,330,144,186,250,236,255,232,1811,324,3,81,956,32,421,38
"155",174,"Mabea fistulifera",1223127613,-14.3,-56.7,"gass84,iddatunl",21628880,255,133,73,834,334,153,181,256,249,262,242,1837,306,6,73,882,37,464,73
"156",175,"Mabea fistulifera",1135864963,-14.18,-56.42,"gass84",21602966,249,133,73,850,330,150,180,250,243,255,236,1837,296,6,71,859,43,478,226
"157",176,"Mabea fistulifera",1223127612,-14.26667,-56.5,"gass84,iddatunl",21620245,246,133,74,824,326,147,179,248,241,252,233,1823,292,6,71,846,44,477,225
"158",177,"Mabea fistulifera",1135864954,-14.16,-56.3,"gass84",21594329,253,132,72,903,334,153,181,255,248,260,240,1816,290,7,71,849,46,472,227
"159",178,"Mabea fistulifera",1223127627,-12.36667,-56.71667,"gass84,iddatunl",21222799,256,136,71,960,346,157,189,259,245,266,242,2125,367,4,76,1057,33,490,74
"160",179,"Mabea fistulifera",1223127637,-12.62361,-56.36417,"gass84,iddatunl",21274648,253,137,70,921,345,151,194,254,243,262,239,2020,356,3,78,1002,30,475,62
"161",180,"Mabea fistulifera",1135864970,-12.3725,-56.2151,"gass84",21222811,252,138,68,950,351,149,202,255,243,261,238,2043,348,3,76,993,29,501,61
"162",181,"Mabea fistulifera",1135864982,-12.22,-56.43,"gass84",21196886,251,138,67,997,354,150,204,254,243,261,238,2198,391,3,75,1072,36,547,68
"163",182,"Mabea fistulifera",1135864940,-13.51,-56.29,"gass84",21464730,251,136,75,876,331,150,181,253,244,260,238,1946,332,5,75,963,46,470,66
"164",183,"Mabea fistulifera",1223127651,-13.85,-56.48333,"gass84,iddatunl",21533845,253,135,74,851,334,153,181,255,247,261,241,1917,317,6,74,928,47,477,231
"165",184,"Mabea fistulifera",1135864976,-12.59,-56.27,"gass84",21274650,251,138,70,918,345,149,196,253,242,260,238,1996,353,3,78,994,29,471,61
