"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"110",144,"Chrysophyllum lucentifolium",1803099983,-3.41667,-63.05,"gass84,iddatunl",19373687,265,88,84,390,321,217,104,261,268,270,261,2435,302,105,33,832,340,392,718
"111",145,"Chrysophyllum lucentifolium",1802588646,3.217,-63.392,"gass84",17991279,245,106,90,323,306,189,117,241,248,248,240,2089,293,115,34,790,375,391,703
"112",146,"Chrysophyllum lucentifolium",1097600461,2.74716,-62.1706,"cdround",18094988,262,105,88,470,322,204,118,256,264,266,254,1844,318,53,59,875,205,273,780
"113",147,"Chrysophyllum lucentifolium",1098301782,2.44372,-60.91944,"",18155498,271,100,83,611,332,212,120,263,275,277,262,1643,305,24,82,893,102,145,876
"114",148,"Chrysophyllum lucentifolium",1098173145,-0.86785,-52.53972,"cdround,iddatunl",18838260,271,89,82,552,332,224,108,266,277,278,264,2238,324,50,52,936,185,209,753
"115",149,"Chrysophyllum lucentifolium",1456171027,2.45,-52.63,"gass84",18155697,256,93,75,539,325,201,124,253,262,263,248,2427,364,56,48,963,205,250,807
"116",150,"Chrysophyllum lucentifolium",1087666262,-8.39889,-35.06361,"gass84",20402519,249,61,67,989,292,202,90,239,253,259,235,2127,323,54,54,923,188,448,833
"117",151,"Chrysophyllum lucentifolium",1319143979,8.26667,-62.2167,"gass84",16945867,241,96,81,576,302,184,118,241,241,246,232,1216,196,31,54,554,110,196,188
"118",153,"Chrysophyllum lucentifolium",1228221057,6.3333,-63.5,"gass84,iddatunl",17351917,257,101,84,456,319,200,119,252,255,263,252,2550,474,25,75,1335,111,425,1335
"119",155,"Chrysophyllum lucentifolium",1456204822,8.23,-61.73,"gass84",16954519,254,92,83,504,311,201,110,254,253,259,247,1374,219,53,41,548,175,357,267
"120",156,"Chrysophyllum lucentifolium",1228306258,-3.8333,-80.5,"gass84,iddatunl",19451029,255,107,76,1200,324,185,139,268,239,268,239,297,104,0,124,211,2,211,2
"121",157,"Chrysophyllum lucentifolium",1042506095,-0.92,-62.94,"elmms,gass84,gdativ",18855290,268,98,89,323,325,215,110,265,271,271,263,2325,351,75,49,995,232,232,899
"122",158,"Chrysophyllum lucentifolium",1097516346,-1.9,-47.16667,"gass84",19054388,263,97,84,361,325,210,115,259,268,268,259,2228,404,40,63,1048,159,194,998
"123",159,"Chrysophyllum lucentifolium",1456384993,8.03,-61.88,"gass84",16997715,254,95,84,505,312,200,112,253,253,259,247,1239,212,41,50,541,146,319,210
"124",161,"Chrysophyllum lucentifolium",1228319166,7.0758,-65.9119,"gass84",17196339,274,102,76,625,347,213,134,266,277,282,266,1748,355,12,86,992,43,109,992
"125",163,"Chrysophyllum lucentifolium",1797275615,-14.4231,-39.0617,"iddatunl",21655223,241,63,64,976,289,192,97,243,238,253,227,1994,210,121,18,585,387,502,562
"126",164,"Chrysophyllum lucentifolium",1141384444,8.06667,-61.73333,"rdativ",16989079,254,93,83,508,311,200,111,254,252,259,246,1301,210,50,42,521,166,341,245
"127",165,"Chrysophyllum lucentifolium",1090478458,-15.16028,-39.53611,"gass84",21802092,231,75,64,1197,287,171,116,241,228,245,214,1156,128,61,25,373,204,347,243
"128",166,"Chrysophyllum lucentifolium",1138293032,5.33333,-58.16667,"rdativ",17559404,266,87,77,634,326,214,112,265,275,275,258,2460,361,99,41,998,358,358,485
"129",167,"Chrysophyllum lucentifolium",1228565872,-9.1839,-74.14,"gass84",20565741,263,111,79,503,331,191,140,267,256,268,256,1692,231,55,41,599,189,575,228
"130",168,"Chrysophyllum lucentifolium",1090450633,-14.41667,-39.01667,"gass84",21655224,245,62,63,985,293,196,97,247,241,256,231,2064,216,127,18,614,401,515,589
"131",169,"Chrysophyllum lucentifolium",1144663702,-22.48222,-42.9125,"gass84,rdativ",23322651,210,101,58,2232,294,121,173,237,181,239,181,1595,265,38,59,712,127,649,127
