"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"206",268,"Ilex dumosa",1087664623,-10.688611,-37.148333,"gass84",20877669,249,69,65,1268,301,196,105,237,259,263,231,1385,246,38,62,648,119,201,535
"207",269,"Ilex dumosa",1077426512,-29.311825,-50.854669,"gass84,iddatunl",24739420,165,95,52,2885,261,80,181,152,140,201,129,1944,193,134,10,532,453,508,463
"208",270,"Ilex dumosa",1098321715,-22.9066598189953,-43.2076685467098,"cdrep,iddatunl",23409044,233,73,55,1932,300,169,131,259,209,259,209,1246,146,53,35,437,165,437,165
"209",271,"Ilex dumosa",1097169634,-25.3096815995346,-49.0558815092544,"cdrep",23910023,172,99,55,2726,258,80,178,204,138,204,135,1614,213,80,30,574,265,574,285
"210",272,"Ilex dumosa",1701741502,7.0758,-65.9119,"gass84",17196339,274,102,76,625,347,213,134,266,277,282,266,1748,355,12,86,992,43,109,992
"211",274,"Ilex dumosa",1098298863,-25.4457834635391,-49.0636827052428,"cdrep",23935943,170,97,55,2725,256,80,176,202,136,202,133,1574,210,80,31,563,258,563,276
"212",275,"Ilex dumosa",1098370355,-18.87,-43.4,"gass84,iddatunl",22570959,210,126,65,2037,296,103,193,228,182,232,181,1583,375,8,87,890,33,611,57
"213",276,"Ilex dumosa",1090550316,-24.715,-47.8811,"gass84",23789091,220,91,51,2835,305,128,177,255,183,255,183,1700,250,55,46,722,212,722,212
"214",277,"Ilex dumosa",1090553811,-23.5475,-46.6361,"gass84",23547201,184,98,60,2140,261,98,163,209,156,210,156,1345,221,35,58,617,126,575,126
"215",278,"Ilex dumosa",1098217201,-23.3996325226238,-53.6147836146631,"cdrep",23512474,215,129,62,2655,311,106,205,233,192,245,178,1389,175,59,29,463,235,442,301
"216",279,"Ilex dumosa",1097257720,-26.4313863406122,-51.3163455164036,"cdrep",24143249,162,123,58,3078,263,53,210,200,123,200,122,1679,166,112,13,469,373,469,376
"217",280,"Ilex dumosa",1097378484,-25.349613,-48.901883,"iddatunl",23918667,180,92,51,3022,266,87,179,215,141,216,140,1837,249,80,35,689,273,679,301
"218",281,"Ilex dumosa",1098033412,-25.4807848457141,-48.8347668975131,"cdrep,iddatunl",23944588,213,84,46,3344,302,122,180,252,170,254,170,1957,278,71,43,804,253,765,253
"219",282,"Ilex dumosa",1097600432,-25.7735852580695,-49.7162298973284,"cdrep",24005047,166,115,56,2999,263,61,202,203,128,203,127,1316,159,69,25,439,258,439,263
"220",283,"Ilex dumosa",1097409458,-24.2549639591203,-49.7062215087586,"cdrep",23694008,175,119,53,3363,272,51,221,211,138,213,127,1382,210,60,37,525,210,501,233
