"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"162",193,"Machaerium stipitatum",1098399586,-24.083838358862,-54.2565318092387,"cdrep,iddatunl",23659338,217,117,57,2858,316,112,204,237,187,247,176,1605,185,71,25,521,264,482,347
"163",194,"Machaerium stipitatum",1097198371,-20.766686,-42.860644,"iddatunl",22968412,202,118,62,2169,290,100,190,221,174,227,172,1253,247,19,75,657,63,483,75
"164",195,"Machaerium stipitatum",1097692948,-27.2183045638794,-49.6437326941371,"cdrep,iddatunl",24307449,189,103,53,3089,288,96,192,227,151,227,150,1531,176,87,21,483,288,480,314
"165",196,"Machaerium stipitatum",1094712471,-27.065833,-49.518056,"cdround,gass84",24272892,200,100,52,3043,298,109,189,236,162,237,162,1546,174,88,22,495,288,487,310
"166",197,"Machaerium stipitatum",1097842703,-27.013976,-49.534691,"iddatunl",24264252,196,100,52,3032,294,104,190,232,158,232,157,1547,174,89,21,495,290,487,313
"167",198,"Machaerium stipitatum",1097483152,-26.9120047872851,-48.6622616743931,"cdrep,iddatunl",24238353,202,93,51,2903,289,107,182,240,165,240,165,1600,215,78,30,579,261,579,261
"168",200,"Machaerium stipitatum",1097056119,-19.597096911928,-46.9410163712206,"cdrep,iddatunl",22726394,202,113,69,1514,273,110,163,214,184,216,179,1622,295,17,72,802,67,782,97
"169",201,"Machaerium stipitatum",1097357823,-29.75136,-51.143791,"iddatunl",24834453,194,93,48,3334,294,103,191,163,190,235,152,1446,141,104,8,391,338,367,363
"170",202,"Machaerium stipitatum",1259503554,-25.24428,-57.573138,"gass84",23892539,233,112,53,3541,339,130,209,270,186,276,186,1382,163,48,33,439,178,436,178
"171",203,"Machaerium stipitatum",1658204479,-21.1858,-48.9072,"gass84",23054667,224,124,68,1864,301,121,180,242,200,242,195,1281,241,19,74,663,66,619,86
"172",204,"Machaerium stipitatum",1090538041,-23.5475,-46.6361,"gass84",23547201,184,98,60,2140,261,98,163,209,156,210,156,1345,221,35,58,617,126,575,126
"173",206,"Machaerium stipitatum",1097397886,-20.758024038568,-42.8818438826343,"cdrep,iddatunl",22968411,201,117,62,2156,289,101,188,220,173,226,172,1259,248,19,76,661,62,488,74
"174",207,"Machaerium stipitatum",1097367680,-25.617865,-54.567325,"iddatunl,rdatm",23970371,212,129,55,3423,323,91,232,233,168,254,167,1728,192,99,17,502,333,453,383
"175",209,"Machaerium stipitatum",1138799191,-26.938333,-54.25,"rdativ",24246859,191,130,57,3384,304,77,227,161,159,232,147,1758,177,117,12,471,374,453,438
"176",210,"Machaerium stipitatum",814364722,-27.44,-55.59,"gass84",24350506,207,127,54,3632,326,95,231,208,171,253,161,1740,217,99,19,504,355,433,366
"177",211,"Machaerium stipitatum",1098347564,-22.5309,-43.0084,"gass84,iddatunl",23331288,209,99,57,2205,292,121,171,236,180,238,180,1723,278,44,57,755,148,694,148
"178",213,"Machaerium stipitatum",1260597286,-30.08333,-51.13333,"gass84",24894933,190,94,48,3408,292,99,193,158,225,231,147,1448,142,101,11,407,324,351,387
"179",214,"Machaerium stipitatum",1144722562,-25,-57,"gass84,rdativ",23849353,228,104,52,3400,326,129,197,264,184,269,184,1395,161,48,33,461,180,453,180
"180",215,"Machaerium stipitatum",1095236606,-13.60167,-46.83556,"gass84",21482236,260,109,71,794,333,180,153,260,252,269,249,1225,227,0,84,640,9,152,18
"181",216,"Machaerium stipitatum",1259204885,-25.266667,-57.216667,"cdround,gass84",23901187,222,107,53,3368,323,122,201,263,178,263,178,1409,160,47,35,466,172,466,172
"182",218,"Machaerium stipitatum",814364721,-27.48,-55.92,"gass84",24359138,210,121,53,3684,326,101,225,232,163,257,163,1656,181,94,16,462,329,434,329
"183",219,"Machaerium stipitatum",1095341749,-29.599722,-50.935556,"gass84",24799898,188,92,49,3203,285,99,186,172,186,228,148,1574,154,111,9,425,371,405,406
"184",220,"Machaerium stipitatum",1144722547,-26,-57,"gass84,rdativ",24056713,219,112,53,3519,323,113,210,218,183,263,173,1437,150,55,23,423,231,363,262
