"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"781",1011,"Trichilia hirta",606660488,16.61666,-98.15,"gass84",15217005,262,152,76,957,359,159,200,264,261,274,249,2084,488,1,112,1277,10,531,22
"782",1012,"Trichilia hirta",1439047791,16.65778,-98.11889,"cdround,elmms,gass84",15208366,255,154,75,1035,354,149,205,257,254,268,241,2059,490,2,111,1285,14,502,23
"783",1013,"Trichilia hirta",1259264732,17.76666,-88.65,"gass84,iddatunl",14975313,253,91,65,1579,320,180,140,262,249,269,231,1722,275,41,53,668,158,402,335
"784",1014,"Trichilia hirta",1419454200,19.55833,-96.69167,"cdround,elmms,gass84",14603600,212,102,59,2278,296,124,172,229,185,235,180,1042,203,27,75,534,87,426,92
"785",1015,"Trichilia hirta",1439050631,19.6325,-96.87472,"cdround,elmms,gass84",14586316,178,94,58,2102,257,96,161,192,156,200,148,1608,311,53,66,749,169,415,170
"786",1016,"Trichilia hirta",1439034712,16.80028,-99.36528,"cdround,elmms,gass84",15173776,285,136,80,710,371,201,170,286,284,294,276,1290,362,1,118,841,6,311,11
"787",1017,"Trichilia hirta",1439063513,19.12806,-102.43639,"cdround,elmms,gass84",14689862,284,150,65,1844,400,170,230,286,286,308,258,671,151,2,110,432,6,152,18
"788",1018,"Trichilia hirta",1439050413,16.80944,-91.24944,"cdround,gass84",15173971,246,114,67,1658,332,163,169,256,244,264,222,2460,457,41,69,1138,161,571,245
"789",1019,"Trichilia hirta",1259106004,11.51666,-86.16666,"gass84,iddatunl",16271373,272,103,73,778,348,207,141,268,273,284,263,1521,353,1,99,845,8,168,459
"790",1020,"Trichilia hirta",1439067428,20.31222,-98.1125,"cdround,elmms,gass84",14448046,187,128,60,2629,289,76,213,206,160,214,150,2232,430,45,79,1180,150,843,155
"791",1021,"Trichilia hirta",1439033323,19.54861,-96.89806,"cdround,elmms,gass84",14603595,184,95,59,2082,263,102,161,199,162,206,154,1576,288,53,64,689,164,446,168
"792",1022,"Trichilia hirta",1419401902,19.56583,-96.83167,"cdround,elmms,gass84",14603597,204,103,59,2312,290,116,174,221,178,228,171,1214,241,33,71,586,103,337,112
"793",1024,"Trichilia hirta",1419466345,19.44778,-96.69389,"cdround,elmms,gass84",14629520,227,111,60,2271,316,134,182,243,195,251,195,907,177,20,85,497,63,239,63
"794",1025,"Trichilia hirta",1258615791,10.83333,-85.61666,"gass84",16418266,251,106,73,746,328,184,144,247,251,261,242,1737,433,1,98,995,9,211,551
"795",1026,"Trichilia hirta",1259261917,8.56667,-82.41667,"cdround,gass84,iddatunl",16884902,257,93,74,668,324,199,125,254,258,267,249,3331,632,30,67,1528,167,557,437
"796",1028,"Trichilia hirta",1097630291,-15.53542,-40.90921,"cdrep",21879819,219,101,68,1526,291,143,148,231,199,235,197,800,163,14,74,431,57,262,68
"797",1029,"Trichilia hirta",1707548168,9.53583,-75.53674,"cdround,gass84",16686348,275,96,75,573,338,211,127,272,276,283,269,1213,215,8,69,519,31,199,363
"798",1030,"Trichilia hirta",1422141440,18.90167,-96.37028,"cdround,elmms,gass84",14741848,260,109,59,2309,351,167,184,275,252,284,226,1160,256,13,99,709,39,267,49
"799",1031,"Trichilia hirta",1258615593,17.25944,-88.79,"cdround,gass84",15078990,250,85,63,1587,312,178,134,263,245,266,228,1981,307,47,48,756,180,652,490
"800",1032,"Trichilia hirta",1260188863,10.88138,-68.23333,"gass84",16401403,267,80,77,585,319,216,103,265,265,272,257,1095,219,28,63,551,119,186,286
"801",1033,"Trichilia hirta",1420951494,18.94667,-100.47139,"cdround,elmms,gass84",14733109,233,152,66,1770,354,125,229,229,242,259,214,1233,254,3,105,758,16,301,46
"802",1034,"Trichilia hirta",1439053022,9.05972,-79.48917,"cdround,gass84",16781293,266,79,74,497,322,216,106,261,266,273,260,1945,312,11,63,800,57,311,388
